Courier,Service_Category,Destination_Region,Weight_kg,Insured_Value_Rs,Rate_Rs
Pakistan Post,City to City,Punjab,0.11,50000,883
Leopard,Overnight,Sindh,7.76,0,1139
M&P,Local,Punjab,0.15,50000,809
M&P,Economy,Islamabad,2.55,10000,384
TCS,Economy,Punjab,4.9,100000,1534
TCS,Economy,Sindh,1.99,100000,1374
M&P,City to City,Punjab,2.89,0,568
Leopard,Overland,Pakhtunkhwa,2.83,50000,962
M&P,Overland,Pakhtunkhwa,1.22,0,275
M&P,Same Day,Punjab,3.59,10000,867
M&P,Local,Islamabad,1.74,0,305
Pakistan Post,City to City,Islamabad,2.22,20000,681
TCS,Economy,Islamabad,3.48,50000,959
M&P,Overnight,Punjab,1.13,10000,717
TCS,Overnight,Pakhtunkhwa,3.66,100000,2064
Leopard,Overnight,Pakhtunkhwa,1.49,100000,1766
M&P,Overland,Punjab,9.99,0,1177
M&P,Local,Pakhtunkhwa,7.03,20000,752
TCS,Overnight,Islamabad,2.09,0,863
Pakistan Post,Local,Sindh,1.6,0,235
M&P,City to City,Balochistan,1.79,0,463
Leopard,Economy,Pakhtunkhwa,7.16,0,394
Leopard,Overland,Islamabad,1.08,0,248
Pakistan Post,City to City,Punjab,0.82,0,302
M&P,Same Day,Balochistan,5.29,0,852
Leopard,Overland,Islamabad,3.99,100000,1599
Leopard,Overnight,Balochistan,2.68,50000,1296
M&P,Local,Balochistan,8.71,0,599
Pakistan Post,Local,Balochistan,4.74,0,355
Pakistan Post,City to City,Islamabad,0.46,10000,398
M&P,Same Day,Pakhtunkhwa,2.27,0,577
TCS,Economy,Islamabad,2.11,0,277
M&P,Local,Punjab,5.89,100000,1582
M&P,Same Day,Balochistan,3.81,0,747
Pakistan Post,Local,Punjab,3.84,20000,535
Leopard,Overnight,Islamabad,0.77,20000,797
TCS,Overland,Sindh,5.82,0,827
Leopard,Overnight,Punjab,1.9,20000,866
Pakistan Post,Local,Punjab,2.95,100000,1461
Pakistan Post,City to City,Islamabad,5.12,0,672
M&P,Overland,Punjab,1.34,100000,1501
Pakistan Post,City to City,Sindh,0.49,20000,524
Pakistan Post,Local,Sindh,2.8,50000,868
TCS,City to City,Sindh,1.11,0,447
Pakistan Post,City to City,Punjab,2.65,50000,1004
TCS,Local,Balochistan,3.16,0,415
M&P,Overland,Pakhtunkhwa,2.34,0,402
TCS,City to City,Balochistan,6.29,0,1057
Pakistan Post,Local,Balochistan,1.56,0,255
TCS,Overnight,Balochistan,6.76,0,1409
M&P,Overnight,Balochistan,5.57,0,1076
TCS,City to City,Sindh,0.84,0,425
M&P,Local,Islamabad,1.06,50000,863
TCS,Overland,Punjab,4.39,100000,1837
Leopard,Economy,Punjab,0.34,20000,378
Pakistan Post,City to City,Pakhtunkhwa,3.66,0,560
Pakistan Post,Local,Sindh,6.63,50000,962
Leopard,Overland,Pakhtunkhwa,1.11,50000,825
M&P,Local,Balochistan,6.71,0,528
TCS,Overnight,Balochistan,5.14,50000,1829
M&P,Local,Islamabad,0.83,20000,500
Leopard,Overland,Sindh,0.34,10000,289
Pakistan Post,City to City,Islamabad,1.62,20000,601
Pakistan Post,City to City,Punjab,1.46,20000,584
Pakistan Post,Local,Pakhtunkhwa,1.09,0,219
Leopard,Overland,Islamabad,1.3,0,257
Leopard,Overland,Pakhtunkhwa,6.1,0,654
Pakistan Post,City to City,Sindh,7.96,0,837
Leopard,Overnight,Islamabad,12.59,0,1616
TCS,Local,Balochistan,9.06,0,694
TCS,Local,Pakhtunkhwa,0.15,0,292
M&P,City to City,Balochistan,1.65,20000,687
Pakistan Post,Local,Pakhtunkhwa,0.49,0,207
TCS,Same Day,Punjab,11.04,50000,2321
TCS,City to City,Sindh,3.82,10000,894
TCS,Overland,Sindh,3.8,0,611
Leopard,Overland,Sindh,4.49,0,524
Leopard,Overland,Islamabad,0.63,0,194
M&P,City to City,Pakhtunkhwa,0.21,10000,447
M&P,City to City,Islamabad,6.17,50000,1541
Pakistan Post,Local,Balochistan,0.33,0,215
Leopard,Overnight,Islamabad,3.12,100000,1979
Leopard,Overland,Sindh,0.13,20000,398
M&P,Local,Balochistan,0.23,20000,487
TCS,Overland,Islamabad,11.2,0,1491
Pakistan Post,Local,Pakhtunkhwa,6.22,0,402
Leopard,Overland,Balochistan,5.72,0,667
M&P,Overnight,Islamabad,6.27,20000,1374
Pakistan Post,Local,Islamabad,0.68,50000,808
Pakistan Post,Local,Balochistan,3.98,100000,1507
TCS,Overnight,Pakhtunkhwa,0.63,20000,864
Pakistan Post,City to City,Pakhtunkhwa,2.64,100000,1635
Leopard,Overnight,Balochistan,5.02,100000,2146
M&P,Economy,Punjab,4.74,20000,600
M&P,Economy,Punjab,6.24,0,421
Pakistan Post,City to City,Punjab,2.8,0,485
Leopard,Overnight,Sindh,7.1,0,1052
M&P,Overland,Punjab,7.08,0,842
TCS,Same Day,Sindh,4.81,0,991
Pakistan Post,Local,Balochistan,2.74,0,287
Leopard,Overnight,Balochistan,3.07,0,769
M&P,City to City,Balochistan,1.99,50000,1110
Pakistan Post,City to City,Islamabad,0.55,10000,398
Pakistan Post,Local,Sindh,5.78,0,400
Pakistan Post,Local,Punjab,1.62,0,237
Leopard,Overland,Islamabad,1.33,50000,844
M&P,Same Day,Punjab,3.63,0,725
Pakistan Post,Local,Punjab,3.73,0,330
TCS,Overland,Pakhtunkhwa,5.93,0,886
TCS,Local,Punjab,13.68,0,981
Leopard,Overnight,Punjab,4.08,0,815
TCS,Same Day,Balochistan,6.24,100000,2361
M&P,Local,Sindh,4.18,0,401
Pakistan Post,Local,Sindh,0.72,0,209
M&P,Local,Punjab,0.39,10000,358
TCS,Same Day,Pakhtunkhwa,5.35,10000,1125
Leopard,Overland,Punjab,3.55,20000,709
TCS,Overnight,Pakhtunkhwa,1.3,10000,850
TCS,Same Day,Sindh,0.62,10000,583
Leopard,Overland,Pakhtunkhwa,6.41,10000,823
Pakistan Post,City to City,Punjab,1.26,100000,1563
Pakistan Post,Local,Punjab,1.88,0,256
Pakistan Post,Local,Balochistan,0.59,50000,754
Pakistan Post,City to City,Pakhtunkhwa,10.41,0,1076
Leopard,Overnight,Balochistan,3.56,0,793
TCS,Economy,Punjab,8.47,20000,847
M&P,Overland,Islamabad,4.56,0,630
M&P,Local,Punjab,2.34,0,315
Pakistan Post,Local,Punjab,5.74,50000,943
M&P,Overnight,Balochistan,0.68,100000,1755
Leopard,Overnight,Balochistan,11.08,50000,2052
TCS,Overnight,Sindh,0.97,0,653
Leopard,Overnight,Balochistan,6.38,0,1000
M&P,Economy,Punjab,0.76,0,177
M&P,Overnight,Sindh,2.93,0,811
M&P,City to City,Punjab,0.62,20000,593
TCS,Local,Pakhtunkhwa,4.25,0,486
Pakistan Post,Local,Punjab,0.15,0,203
M&P,Local,Sindh,3.22,0,352
Leopard,Overnight,Punjab,2.57,0,728
Pakistan Post,City to City,Sindh,0.95,50000,916
Leopard,Economy,Punjab,1.85,0,195
Pakistan Post,City to City,Islamabad,0.26,20000,538
Leopard,Overnight,Islamabad,2.61,0,702
Pakistan Post,Local,Sindh,0.54,0,207
M&P,Overland,Islamabad,1.35,0,278
Leopard,Overland,Punjab,1.01,0,244
M&P,Same Day,Punjab,4.37,10000,953
Leopard,Economy,Pakhtunkhwa,1.03,0,180
Pakistan Post,Local,Sindh,1.76,0,255
M&P,Economy,Balochistan,2.81,0,257
M&P,Same Day,Sindh,13.65,0,1649
TCS,Economy,Pakhtunkhwa,1.25,10000,331
M&P,Overnight,Pakhtunkhwa,2.91,50000,1306
TCS,Local,Pakhtunkhwa,3.43,10000,544
Pakistan Post,Local,Islamabad,4.63,0,359
Leopard,Overland,Sindh,0.83,20000,423
TCS,Economy,Punjab,2.73,50000,888
Leopard,Economy,Balochistan,2.94,20000,486
Pakistan Post,Local,Punjab,1.46,0,231
Leopard,Overland,Punjab,0.71,20000,447
M&P,City to City,Pakhtunkhwa,5.73,0,859
Pakistan Post,City to City,Sindh,3.86,0,555
Leopard,Overland,Balochistan,2.8,10000,486
Pakistan Post,Local,Pakhtunkhwa,1.89,0,246
Leopard,Overland,Punjab,10.57,0,1055
Pakistan Post,Local,Balochistan,0.31,10000,336
M&P,Overnight,Pakhtunkhwa,3.9,20000,1165
M&P,City to City,Punjab,1.85,50000,1078
TCS,City to City,Islamabad,1.99,100000,1785
M&P,Same Day,Islamabad,0.99,0,459
Pakistan Post,City to City,Sindh,0.45,10000,377
Leopard,Economy,Balochistan,1.32,0,176
Leopard,Economy,Islamabad,0.53,0,154
Pakistan Post,City to City,Islamabad,0.13,0,294
Pakistan Post,City to City,Balochistan,2.4,0,445
TCS,Economy,Pakhtunkhwa,2.39,0,298
Pakistan Post,City to City,Punjab,1.82,0,395
Pakistan Post,City to City,Punjab,1.45,0,353
TCS,Local,Punjab,5.56,0,514
TCS,Economy,Islamabad,5.17,0,441
Leopard,Overnight,Punjab,13.88,20000,2032
Leopard,Economy,Islamabad,1.34,10000,299
TCS,Overland,Balochistan,6.7,100000,2172
Pakistan Post,City to City,Punjab,1.79,0,383
M&P,Economy,Sindh,2.0,0,232
Leopard,Overland,Pakhtunkhwa,3.42,20000,691
TCS,Economy,Balochistan,1.96,50000,813
Pakistan Post,City to City,Punjab,1.8,0,381
Leopard,Overnight,Pakhtunkhwa,1.05,0,566
TCS,Overland,Balochistan,2.95,0,537
Leopard,Overland,Sindh,0.43,50000,766
M&P,Overland,Islamabad,1.39,0,309
M&P,Overnight,Punjab,5.11,100000,2059
Leopard,Overland,Punjab,3.3,0,431
TCS,Local,Pakhtunkhwa,1.6,20000,553
Leopard,Economy,Sindh,1.33,0,172
Leopard,Overnight,Punjab,5.43,10000,1095
M&P,Overland,Balochistan,1.62,10000,416
Pakistan Post,City to City,Punjab,0.3,0,291
Leopard,Overnight,Punjab,2.66,0,703
Leopard,Overland,Pakhtunkhwa,4.33,100000,1709
Pakistan Post,Local,Sindh,8.58,0,495
M&P,Overland,Pakhtunkhwa,2.85,50000,985
Leopard,Overland,Islamabad,2.35,20000,591
M&P,Same Day,Sindh,0.23,50000,935
Leopard,Overnight,Pakhtunkhwa,0.82,0,515
M&P,Overnight,Punjab,2.65,0,756
Pakistan Post,City to City,Balochistan,8.33,0,896
TCS,City to City,Punjab,1.94,0,556
M&P,Local,Balochistan,6.63,0,490
Leopard,Overnight,Pakhtunkhwa,1.31,20000,789
Leopard,Economy,Pakhtunkhwa,7.43,100000,1511
Leopard,Overland,Pakhtunkhwa,0.23,100000,1390
M&P,Economy,Pakhtunkhwa,5.19,100000,1488
Pakistan Post,City to City,Punjab,6.25,0,789
M&P,Economy,Sindh,1.15,20000,409
M&P,Same Day,Pakhtunkhwa,2.89,0,656
Pakistan Post,City to City,Punjab,3.5,0,528
M&P,Economy,Punjab,1.57,20000,424
Leopard,Overnight,Punjab,0.3,10000,615
Leopard,Economy,Punjab,0.4,0,159
Pakistan Post,Local,Islamabad,2.44,0,286
M&P,Economy,Pakhtunkhwa,0.72,0,173
M&P,Economy,Sindh,9.51,50000,1084
M&P,Economy,Balochistan,0.61,0,175
TCS,Overland,Punjab,6.28,0,936
Pakistan Post,City to City,Sindh,6.9,10000,910
M&P,Economy,Balochistan,2.97,100000,1482
Pakistan Post,Local,Sindh,1.23,10000,331
Leopard,Overnight,Balochistan,0.98,50000,1142
TCS,Economy,Pakhtunkhwa,0.84,10000,334
Pakistan Post,City to City,Balochistan,3.19,0,503
Pakistan Post,City to City,Sindh,0.47,0,277
TCS,Overnight,Balochistan,3.14,0,950
TCS,Economy,Balochistan,1.69,0,258
TCS,Same Day,Punjab,1.11,0,536
TCS,City to City,Sindh,5.1,50000,1470
Pakistan Post,City to City,Sindh,0.21,0,279
Pakistan Post,City to City,Balochistan,0.37,100000,1484
M&P,Overnight,Balochistan,0.8,0,607
M&P,Overland,Sindh,3.15,20000,689
TCS,City to City,Pakhtunkhwa,3.25,50000,1284
Leopard,Economy,Islamabad,1.9,0,215
TCS,Economy,Pakhtunkhwa,0.59,20000,417
Pakistan Post,Local,Punjab,12.98,0,664
Pakistan Post,City to City,Islamabad,3.93,0,572
Leopard,Overnight,Pakhtunkhwa,1.21,10000,682
Pakistan Post,City to City,Balochistan,4.12,50000,1161
Leopard,Overnight,Pakhtunkhwa,0.64,10000,653
M&P,Overland,Islamabad,2.62,0,406
Leopard,Overland,Islamabad,0.93,0,220
Pakistan Post,Local,Punjab,1.61,100000,1346
Leopard,Overnight,Punjab,0.9,0,519
TCS,Same Day,Punjab,1.03,0,557
Leopard,Overnight,Balochistan,8.16,50000,1805
TCS,City to City,Balochistan,2.87,0,662
Leopard,Economy,Punjab,4.3,20000,551
Pakistan Post,Local,Balochistan,0.51,50000,760
M&P,City to City,Pakhtunkhwa,5.71,0,870
M&P,Same Day,Pakhtunkhwa,2.79,0,636
Pakistan Post,City to City,Punjab,0.48,10000,420
TCS,Same Day,Sindh,4.06,20000,1123
TCS,Economy,Punjab,4.81,0,404
M&P,Overnight,Pakhtunkhwa,1.29,20000,870
M&P,Overland,Punjab,7.53,0,854
Leopard,Overnight,Punjab,5.55,0,930
Leopard,Overland,Islamabad,2.22,0,332
Pakistan Post,Local,Punjab,1.2,50000,818
M&P,Local,Islamabad,1.0,20000,515
Pakistan Post,City to City,Balochistan,4.24,0,593
Pakistan Post,City to City,Punjab,1.47,0,369
Leopard,Economy,Pakhtunkhwa,1.5,50000,790
M&P,Overland,Balochistan,4.83,0,636
Pakistan Post,Local,Punjab,1.28,50000,800
Pakistan Post,City to City,Pakhtunkhwa,1.07,0,325
M&P,City to City,Punjab,5.29,0,824
TCS,Economy,Sindh,0.75,20000,446
M&P,Overland,Punjab,0.49,0,198
Pakistan Post,City to City,Islamabad,4.91,20000,874
TCS,Same Day,Punjab,1.14,10000,683
M&P,City to City,Balochistan,9.24,0,1187
M&P,Same Day,Sindh,0.94,10000,573
Pakistan Post,Local,Sindh,0.91,20000,442
Pakistan Post,Local,Balochistan,2.79,10000,401
M&P,Same Day,Balochistan,12.22,20000,1778
TCS,City to City,Pakhtunkhwa,5.88,0,990
TCS,Local,Pakhtunkhwa,1.51,50000,954
M&P,Economy,Balochistan,1.72,50000,768
TCS,Local,Sindh,0.74,20000,509
M&P,City to City,Pakhtunkhwa,0.59,10000,490
M&P,Overland,Punjab,2.41,50000,966
Leopard,Overland,Sindh,1.38,20000,504
M&P,Economy,Sindh,3.28,0,288
Pakistan Post,City to City,Punjab,1.64,0,393
Pakistan Post,City to City,Sindh,2.37,0,427
M&P,City to City,Islamabad,1.49,100000,1609
Pakistan Post,City to City,Pakhtunkhwa,3.39,0,505
Leopard,Economy,Islamabad,4.85,0,306
M&P,Local,Islamabad,1.22,0,289
M&P,City to City,Punjab,1.69,0,463
M&P,Local,Pakhtunkhwa,2.14,0,329
TCS,Overland,Balochistan,0.76,0,261
Pakistan Post,Local,Balochistan,6.99,0,434
Leopard,Economy,Pakhtunkhwa,2.51,0,239
TCS,City to City,Punjab,2.18,50000,1181
TCS,Overland,Balochistan,0.82,20000,495
Leopard,Economy,Sindh,0.14,100000,1318
Pakistan Post,Local,Pakhtunkhwa,1.34,0,241
M&P,Overland,Pakhtunkhwa,0.66,100000,1401
Leopard,Overland,Islamabad,4.33,10000,671
TCS,Same Day,Balochistan,6.57,100000,2208
Leopard,Overland,Pakhtunkhwa,1.14,20000,458
Pakistan Post,Local,Pakhtunkhwa,2.39,10000,369
Leopard,Overland,Punjab,3.23,50000,1008
M&P,Economy,Balochistan,6.55,0,400
Pakistan Post,Local,Pakhtunkhwa,3.11,0,287
Pakistan Post,City to City,Pakhtunkhwa,0.65,0,290
Leopard,Overnight,Sindh,7.71,20000,1331
TCS,City to City,Islamabad,1.97,20000,809
TCS,Economy,Sindh,7.7,0,513
TCS,Same Day,Pakhtunkhwa,1.47,50000,1181
M&P,Same Day,Pakhtunkhwa,1.48,20000,767
M&P,Overnight,Islamabad,0.63,50000,1117
M&P,Same Day,Balochistan,0.21,20000,666
Leopard,Economy,Pakhtunkhwa,11.44,0,588
M&P,Economy,Pakhtunkhwa,2.49,100000,1364
TCS,Local,Islamabad,3.52,100000,1587
Pakistan Post,City to City,Islamabad,4.29,20000,841
Pakistan Post,Local,Sindh,3.17,0,304
Pakistan Post,Local,Islamabad,0.68,0,225
TCS,Overland,Punjab,7.8,0,1055
TCS,Local,Sindh,2.75,50000,932
Pakistan Post,City to City,Punjab,1.12,100000,1572
Pakistan Post,Local,Sindh,1.54,0,233
Leopard,Overland,Islamabad,0.7,0,219
M&P,Local,Punjab,3.28,0,383
Leopard,Economy,Sindh,5.92,0,344
Pakistan Post,City to City,Sindh,0.41,0,285
M&P,Same Day,Pakhtunkhwa,0.66,10000,524
TCS,City to City,Balochistan,0.27,50000,963
TCS,Local,Pakhtunkhwa,0.77,0,309
TCS,City to City,Sindh,4.96,0,848
TCS,Overland,Punjab,0.39,100000,1436
Leopard,Overland,Pakhtunkhwa,3.29,0,456
M&P,Local,Sindh,0.31,0,234
M&P,Same Day,Punjab,6.15,100000,2065
TCS,Local,Punjab,1.69,0,368
TCS,Overland,Sindh,6.6,50000,1474
TCS,Economy,Sindh,0.46,0,198
Pakistan Post,Local,Islamabad,7.85,0,455
Pakistan Post,City to City,Punjab,0.42,20000,502
Leopard,Overnight,Pakhtunkhwa,3.75,100000,1952
TCS,City to City,Balochistan,4.99,0,946
TCS,Same Day,Punjab,3.64,0,839
M&P,Overland,Islamabad,0.84,0,248
M&P,Overland,Balochistan,2.01,20000,587
Leopard,Economy,Balochistan,2.2,0,211
M&P,Same Day,Sindh,1.19,50000,1044
TCS,City to City,Islamabad,1.24,0,473
M&P,Overland,Islamabad,0.11,0,210
Pakistan Post,City to City,Punjab,0.89,0,313
M&P,Economy,Balochistan,0.37,10000,272
Leopard,Economy,Punjab,1.96,50000,824
M&P,City to City,Pakhtunkhwa,0.92,20000,640
Leopard,Overnight,Islamabad,1.69,0,593
M&P,Same Day,Balochistan,1.8,0,514
TCS,Local,Islamabad,1.05,100000,1547
Pakistan Post,City to City,Sindh,0.13,20000,520
M&P,Economy,Balochistan,0.66,0,172
Leopard,Overnight,Sindh,1.14,100000,1739
M&P,Economy,Punjab,0.21,100000,1316
M&P,Local,Islamabad,1.12,50000,815
Pakistan Post,Local,Pakhtunkhwa,13.0,20000,853
Pakistan Post,City to City,Punjab,5.8,0,728
Leopard,Overland,Balochistan,0.68,10000,325
Pakistan Post,Local,Balochistan,9.53,0,514
M&P,City to City,Punjab,2.38,100000,1715
TCS,Local,Islamabad,0.85,0,316
Leopard,Economy,Balochistan,2.63,0,237
Pakistan Post,City to City,Pakhtunkhwa,2.44,0,463
Leopard,Overland,Balochistan,3.51,0,439
Pakistan Post,Local,Punjab,0.43,50000,784
TCS,City to City,Punjab,1.34,0,499
Leopard,Economy,Sindh,2.64,50000,780
TCS,Overland,Sindh,2.24,0,426
TCS,Overland,Balochistan,7.72,20000,1328
TCS,City to City,Islamabad,3.51,0,743
M&P,Local,Islamabad,1.79,0,317
Pakistan Post,City to City,Sindh,5.88,50000,1302
Leopard,Overland,Punjab,6.28,50000,1285
Pakistan Post,Local,Punjab,1.5,10000,365
Leopard,Economy,Punjab,5.12,10000,448
TCS,City to City,Punjab,5.94,10000,1186
TCS,Economy,Balochistan,8.56,20000,785
TCS,Local,Sindh,1.87,100000,1536
TCS,Overnight,Balochistan,4.07,50000,1578
Pakistan Post,Local,Balochistan,3.96,0,335
Leopard,Overnight,Islamabad,0.12,0,519
Leopard,Overnight,Islamabad,1.03,50000,1168
TCS,Same Day,Sindh,5.6,20000,1302
Pakistan Post,City to City,Balochistan,7.58,10000,974
Pakistan Post,Local,Islamabad,4.32,0,332
TCS,Overnight,Pakhtunkhwa,3.86,20000,1233
TCS,Local,Islamabad,2.56,50000,952
Pakistan Post,City to City,Islamabad,1.57,20000,631
Pakistan Post,City to City,Sindh,4.02,10000,691
Leopard,Overnight,Balochistan,5.21,20000,1117
Leopard,Overnight,Pakhtunkhwa,0.98,10000,658
M&P,Economy,Sindh,0.46,0,159
M&P,Overnight,Balochistan,0.3,0,542
Leopard,Overland,Punjab,2.36,0,348
Leopard,Economy,Sindh,2.82,50000,792
Pakistan Post,City to City,Balochistan,0.39,0,285
M&P,Economy,Sindh,2.98,100000,1339
TCS,Economy,Sindh,0.91,50000,770
TCS,City to City,Balochistan,6.26,10000,1217
TCS,Overland,Sindh,0.87,0,269
Leopard,Economy,Balochistan,3.4,0,267
M&P,Same Day,Punjab,5.89,100000,2151
TCS,City to City,Sindh,1.99,0,547
Leopard,Overnight,Sindh,17.97,0,2052
M&P,Same Day,Sindh,5.44,100000,1969
TCS,Overland,Islamabad,1.65,20000,636
TCS,Overland,Islamabad,1.51,0,370
TCS,Local,Islamabad,1.04,50000,934
TCS,Local,Sindh,3.89,10000,579
M&P,Local,Balochistan,2.42,0,319
Pakistan Post,City to City,Balochistan,0.73,0,293
Leopard,Economy,Pakhtunkhwa,2.73,0,232
Leopard,Overnight,Islamabad,0.87,100000,1778
Leopard,Economy,Sindh,2.94,100000,1375
M&P,Same Day,Sindh,0.41,0,403
Leopard,Overland,Punjab,4.56,0,546
Leopard,Economy,Islamabad,0.66,50000,769
M&P,Economy,Pakhtunkhwa,7.69,0,461
TCS,Economy,Sindh,2.89,20000,553
TCS,City to City,Islamabad,7.29,10000,1248
M&P,Overland,Sindh,0.95,50000,816
Pakistan Post,City to City,Sindh,13.97,0,1352
Pakistan Post,Local,Islamabad,1.51,50000,823
M&P,Local,Pakhtunkhwa,2.87,100000,1523
Leopard,Overnight,Islamabad,0.48,100000,1738
Leopard,Overland,Punjab,1.02,50000,819
M&P,Economy,Sindh,1.54,20000,440
Leopard,Overnight,Punjab,3.47,0,748
Pakistan Post,Local,Islamabad,2.56,0,294
Pakistan Post,Local,Balochistan,1.54,50000,840
Pakistan Post,Local,Balochistan,0.15,20000,453
TCS,Local,Islamabad,6.89,0,583
M&P,City to City,Sindh,7.91,0,1054
TCS,Local,Pakhtunkhwa,6.69,20000,817
Pakistan Post,Local,Punjab,5.67,0,400
M&P,Local,Balochistan,1.99,50000,884
Leopard,Overland,Punjab,2.02,20000,548
M&P,Overland,Pakhtunkhwa,0.33,0,206
TCS,Local,Islamabad,2.15,0,354
M&P,Same Day,Balochistan,1.22,100000,1643
M&P,Same Day,Punjab,6.98,10000,1194
Leopard,Overland,Pakhtunkhwa,8.93,0,982
Leopard,Economy,Islamabad,1.35,50000,747
Pakistan Post,Local,Punjab,0.72,0,224
TCS,Local,Sindh,1.05,10000,431
M&P,Local,Pakhtunkhwa,1.89,0,295
M&P,Local,Punjab,1.07,10000,383
TCS,Local,Pakhtunkhwa,5.25,50000,1129
Pakistan Post,City to City,Balochistan,0.27,0,296
TCS,Overland,Balochistan,3.79,10000,750
TCS,Overnight,Pakhtunkhwa,0.92,10000,799
Leopard,Overnight,Islamabad,3.68,0,756
TCS,Local,Punjab,4.49,10000,615
Pakistan Post,City to City,Islamabad,4.34,50000,1153
Leopard,Overland,Punjab,0.5,0,186
Leopard,Economy,Punjab,5.06,0,312
TCS,Same Day,Islamabad,0.51,10000,600
TCS,Local,Pakhtunkhwa,5.02,100000,1646
Pakistan Post,Local,Punjab,1.0,10000,358
Leopard,Economy,Pakhtunkhwa,0.95,0,167
Leopard,Overnight,Punjab,2.12,20000,922
Leopard,Economy,Islamabad,2.28,0,225
Pakistan Post,Local,Sindh,5.44,10000,461
Leopard,Overnight,Islamabad,1.53,50000,1139
TCS,Overland,Sindh,0.57,50000,786
Pakistan Post,City to City,Sindh,0.62,100000,1475
TCS,Same Day,Sindh,5.15,0,1030
TCS,Overnight,Balochistan,2.18,50000,1425
M&P,Overland,Balochistan,3.19,0,462
Pakistan Post,Local,Islamabad,7.23,100000,1675
Leopard,Overnight,Pakhtunkhwa,2.22,0,677
TCS,Economy,Pakhtunkhwa,1.93,100000,1438
TCS,Overland,Islamabad,3.55,0,614
Leopard,Overland,Sindh,2.82,100000,1501
Pakistan Post,Local,Balochistan,5.14,0,379
Leopard,Economy,Sindh,7.75,100000,1479
Pakistan Post,Local,Sindh,0.55,0,213
M&P,City to City,Balochistan,4.36,10000,868
Leopard,Overnight,Sindh,1.36,0,579
TCS,Overland,Balochistan,0.29,0,230
M&P,City to City,Punjab,11.88,0,1411
M&P,City to City,Pakhtunkhwa,1.78,0,452
M&P,Local,Sindh,1.43,0,289
Pakistan Post,Local,Punjab,2.38,0,288
M&P,Overnight,Pakhtunkhwa,0.47,0,529
TCS,City to City,Sindh,1.64,0,514
M&P,Overnight,Islamabad,4.69,0,973
Leopard,Overland,Punjab,10.07,0,1074
Pakistan Post,Local,Pakhtunkhwa,6.98,50000,1045
Pakistan Post,City to City,Punjab,1.61,0,363
TCS,Local,Sindh,5.65,100000,1668
M&P,City to City,Sindh,5.63,10000,902
M&P,Overland,Pakhtunkhwa,0.77,10000,361
Leopard,Overland,Punjab,2.17,100000,1562
TCS,Overnight,Sindh,3.27,20000,1116
M&P,Economy,Balochistan,2.18,0,243
M&P,Local,Islamabad,3.65,50000,934
TCS,Overnight,Punjab,0.58,0,644
Pakistan Post,City to City,Sindh,2.43,20000,672
Pakistan Post,Local,Sindh,2.89,10000,410
TCS,Economy,Punjab,1.26,10000,341
M&P,Economy,Punjab,0.15,20000,385
Pakistan Post,Local,Sindh,4.96,100000,1422
Leopard,Overland,Balochistan,0.16,0,188
Pakistan Post,City to City,Islamabad,0.77,20000,543
TCS,City to City,Islamabad,0.58,0,400
Leopard,Overland,Sindh,2.03,0,332
Leopard,Overnight,Islamabad,1.87,100000,1801
Leopard,Overnight,Punjab,2.9,10000,852
Leopard,Overland,Sindh,1.55,0,276
Pakistan Post,Local,Sindh,0.83,100000,1375
Pakistan Post,Local,Balochistan,0.16,0,216
Leopard,Overland,Punjab,1.24,20000,500
Leopard,Overland,Islamabad,1.81,10000,434
Leopard,Economy,Sindh,3.97,20000,492
M&P,Overnight,Balochistan,5.41,0,994
TCS,Economy,Islamabad,0.24,0,187
M&P,Overland,Punjab,0.56,50000,806
M&P,Same Day,Pakhtunkhwa,4.02,0,725
Pakistan Post,City to City,Pakhtunkhwa,4.33,0,583
Pakistan Post,Local,Punjab,3.76,100000,1431
TCS,Economy,Pakhtunkhwa,6.64,0,493
Pakistan Post,City to City,Islamabad,2.25,0,439
Pakistan Post,City to City,Punjab,1.98,0,390
M&P,Local,Islamabad,4.5,10000,554
M&P,Local,Punjab,3.39,0,378
Pakistan Post,Local,Sindh,0.32,50000,803
Pakistan Post,Local,Balochistan,0.66,50000,812
M&P,Economy,Sindh,11.37,100000,1704
TCS,Overland,Islamabad,16.36,0,2145
Pakistan Post,Local,Punjab,2.58,50000,838
Leopard,Overland,Pakhtunkhwa,3.06,10000,531
Leopard,Overnight,Sindh,0.38,0,503
Pakistan Post,Local,Balochistan,2.6,10000,397
TCS,Local,Pakhtunkhwa,0.99,50000,926
Pakistan Post,Local,Punjab,9.66,100000,1754
M&P,Overnight,Sindh,0.61,10000,669
Pakistan Post,Local,Sindh,1.85,0,250
Pakistan Post,City to City,Sindh,3.61,0,539
Leopard,Overnight,Balochistan,3.76,20000,1009
Pakistan Post,City to City,Punjab,8.49,100000,2179
M&P,Same Day,Pakhtunkhwa,5.82,50000,1442
Leopard,Economy,Balochistan,4.3,10000,408
M&P,Local,Islamabad,2.39,0,323
Leopard,Economy,Pakhtunkhwa,1.08,0,167
Leopard,Overnight,Sindh,2.43,0,647
M&P,Overnight,Sindh,1.43,20000,857
TCS,Overland,Balochistan,5.27,0,794
TCS,Overnight,Sindh,4.9,0,1164
M&P,City to City,Islamabad,3.4,100000,1797
M&P,City to City,Balochistan,4.61,50000,1256
M&P,Local,Islamabad,4.65,0,437
